Date,^spx_d,^shc_d,^hsi_d,^ndq_d,^dji_d,^nkx_d
1901-08-02,8.38,,,,51.62,
1901-08-03,8.36,,,,,
1901-08-05,8.18,,,,50.13,
1901-08-06,8.2,,,,50.01,
1901-08-07,8.24,,,,50.36,
1901-08-08,8.32,,,,51.0,
1901-08-09,8.28,,,,50.45,
1901-08-10,8.25,,,,,
1901-08-12,8.29,,,,50.63,
1901-08-13,8.38,,,,50.94,
1901-08-14,8.41,,,,51.21,
1901-08-15,8.51,,,,51.94,
1901-08-16,8.47,,,,51.84,
1901-08-17,8.41,,,,,
1901-08-19,8.44,,,,51.43,
1901-08-20,8.48,,,,51.48,
1901-08-21,8.5,,,,51.71,
1901-08-22,8.56,,,,52.22,
1901-08-23,8.63,,,,52.89,
1901-08-24,8.69,,,,,
1901-08-26,8.72,,,,53.47,
1901-08-27,8.63,,,,52.73,
1901-08-28,8.62,,,,52.66,
1901-08-29,8.64,,,,52.74,
1901-08-30,8.7,,,,53.21,
1901-09-03,8.59,,,,52.62,
1901-09-04,8.66,,,,53.07,
1901-09-05,8.63,,,,52.91,
1901-09-06,8.6,,,,52.31,
1901-09-07,8.25,,,,,
1901-09-09,8.43,,,,51.2,
1901-09-10,8.52,,,,51.75,
1901-09-11,8.45,,,,51.43,
1901-09-12,8.43,,,,50.88,
1901-09-13,8.14,,,,48.71,
1901-09-16,8.44,,,,50.7,
1901-09-17,8.43,,,,50.6,
1901-09-18,8.51,,,,50.88,
1901-09-20,8.53,,,,51.04,
1901-09-21,8.53,,,,,
1901-09-23,8.41,,,,48.94,
1901-09-24,8.4,,,,48.84,
1901-09-25,8.25,,,,47.96,
1901-09-26,8.3,,,,48.45,
1901-09-27,8.38,,,,49.02,
1901-09-28,8.36,,,,,
1901-09-30,8.28,,,,48.28,
1901-10-01,8.26,,,,47.85,
1901-10-02,8.23,,,,47.76,
1901-10-03,8.15,,,,46.7,
1901-10-04,8.16,,,,46.76,
1901-10-05,8.09,,,,,
1901-10-07,8.07,,,,46.15,
1901-10-08,8.11,,,,46.24,
1901-10-09,8.13,,,,46.45,
1901-10-10,8.25,,,,47.34,
1901-10-11,8.33,,,,47.74,
1901-10-12,8.27,,,,,
1901-10-14,8.29,,,,47.65,
1901-10-15,8.26,,,,47.29,
1901-10-16,8.25,,,,47.01,
1901-10-17,8.27,,,,47.24,
1901-10-18,8.29,,,,47.42,
1901-10-19,8.31,,,,,
1901-10-21,8.29,,,,47.38,
1901-10-22,8.35,,,,47.55,
1901-10-23,8.4,,,,47.55,
1901-10-24,8.38,,,,47.39,
1901-10-25,8.37,,,,47.29,
1901-10-26,8.38,,,,,
1901-10-28,8.27,,,,46.36,
1901-10-29,8.34,,,,46.69,
1901-10-30,8.38,,,,46.97,
1901-10-31,8.35,,,,46.68,
1901-11-01,8.41,,,,46.84,
1901-11-02,8.42,,,,,
1901-11-04,8.39,,,,46.7,
1901-11-06,8.48,,,,46.76,
1901-11-07,8.51,,,,46.92,
1901-11-08,8.54,,,,47.15,
1901-11-09,8.59,,,,,
1901-11-11,8.63,,,,48.18,
1901-11-12,8.59,,,,48.05,
1901-11-13,8.58,,,,47.82,
1901-11-14,8.47,,,,47.34,
1901-11-15,8.56,,,,47.87,
1901-11-16,8.56,,,,,
1901-11-18,8.53,,,,47.71,
1901-11-19,8.51,,,,47.53,
1901-11-20,8.5,,,,47.18,
1901-11-21,8.59,,,,47.4,
1901-11-22,8.65,,,,47.71,
1901-11-23,8.63,,,,,
1901-11-25,8.6,,,,47.18,
1901-11-26,8.6,,,,47.21,
1901-11-27,8.63,,,,47.64,
1901-11-29,8.61,,,,47.57,
1901-11-30,8.56,,,,,
1901-12-02,8.47,,,,46.37,
1901-12-03,8.51,,,,46.67,
1901-12-04,8.57,,,,46.98,
1901-12-05,8.58,,,,46.96,
1901-12-06,8.45,,,,46.22,
1901-12-07,8.37,,,,,
1901-12-09,8.41,,,,46.12,
1901-12-10,8.38,,,,45.82,
1901-12-11,8.31,,,,45.45,
1901-12-12,8.22,,,,44.62,
1901-12-13,8.25,,,,44.79,
1901-12-14,8.28,,,,,
1901-12-16,8.28,,,,44.87,
1901-12-17,8.34,,,,45.1,
1901-12-18,8.38,,,,45.48,
